cluster_4,cluster_6,cluster_8,cluster_13,Gas6-72008122
0,5,4,4,0.06479808
0,5,4,4,0.06582838
0,5,0,4,0.06957119
0,5,4,4,0.06762452
0,5,0,8,0.071369596
0,5,0,4,0.06937802
0,0,7,0,0.08115682
0,0,0,8,0.07462356
0,0,0,8,0.073155805
0,0,0,0,0.07669205
0,0,0,8,0.075275
0,5,4,4,0.067329735
0,0,0,0,0.077455744
3,4,7,7,0.090118304
3,4,3,3,0.09833229
0,0,7,7,0.0844086
3,3,6,6,0.12896717
1,5,4,10,0.05740764
0,0,0,8,0.074439205
3,4,3,3,0.09709416
3,4,3,11,0.103433065
3,3,6,6,0.11390488
3,3,6,6,0.1126464
0,0,0,8,0.07619882
1,5,4,10,0.061310608
1,5,4,10,0.058927674
0,0,0,8,0.07261145
0,0,0,8,0.07540765
0,0,7,7,0.08591918
3,4,3,3,0.096280925
3,4,3,3,0.0980961
3,4,3,11,0.10321275
3,4,7,3,0.09171463
3,4,3,3,0.094246775
3,4,3,3,0.099419326
1,1,1,1,0.04387515
1,5,4,10,0.05947472
1,1,1,1,0.052141964
1,5,4,10,0.057663277
0,5,4,4,0.066813044
0,5,4,4,0.0679681
0,5,0,8,0.07088658
0,0,7,0,0.08328661
0,0,7,0,0.08277978
0,0,7,7,0.085255325
3,4,3,11,0.10006593
1,1,1,12,0.036340952
1,5,4,10,0.057568688
1,1,1,12,0.04269973
1,5,4,10,0.055855203
1,5,4,10,0.058181554
1,1,1,1,0.052853715
1,5,4,10,0.06282904
0,5,0,4,0.06888596
0,0,0,8,0.07477361
0,0,0,0,0.0792001
3,4,7,3,0.091731645
1,1,1,12,0.040473476
1,1,1,1,0.052751776
1,1,1,1,0.05015454
1,5,4,4,0.06359649
1,5,4,4,0.06324378
1,5,4,10,0.059028924
0,0,0,8,0.07247753
0,5,0,4,0.06983925
0,0,0,8,0.076123446
1,5,4,10,0.056491736
0,5,4,4,0.06742766
1,5,4,10,0.06035588
0,5,4,4,0.066509396
0,5,4,4,0.06637402
0,0,0,0,0.07856872
0,0,0,8,0.07248599
0,0,0,0,0.07926504
0,5,0,8,0.06987949
0,5,4,4,0.068081915
0,5,4,4,0.06651967
0,0,0,8,0.07410107
0,0,0,8,0.07282787
0,0,7,7,0.08538716
0,0,7,7,0.085719235
0,0,0,8,0.073760435
0,0,0,8,0.0726443
0,5,0,8,0.07015688
0,5,0,8,0.071979605
0,0,0,0,0.08020962
0,0,0,8,0.073128775
0,0,7,7,0.08599868
0,5,0,4,0.06923445
0,0,0,8,0.07389129
0,0,0,0,0.07812783
3,4,7,7,0.08910785
0,0,0,0,0.077027895
0,0,0,0,0.07929518
3,3,3,11,0.10524859
0,5,0,8,0.07067729
3,3,6,11,0.109828286
3,3,6,11,0.10765806
3,3,3,11,0.106840566
3,3,3,11,0.106815375
3,4,3,3,0.09309806
1,5,4,4,0.0630502
0,5,0,8,0.07009518
1,1,1,1,0.05149244
1,1,1,1,0.04830863
0,0,7,7,0.086071886
0,0,7,0,0.083547086
0,0,7,0,0.08326481
0,0,7,7,0.086199336
0,0,0,0,0.079801604
0,0,7,0,0.080879554
0,0,0,8,0.07602353
0,0,7,0,0.08101373
3,4,7,7,0.08736922
1,1,1,12,0.038711704
1,1,1,12,0.03477206
1,1,1,1,0.04980804
1,1,4,10,0.05534888
1,5,4,10,0.0607388
1,5,4,10,0.062379148
0,5,4,4,0.06788334
0,0,7,0,0.081245065
0,0,7,0,0.08221269
0,0,7,0,0.0822141
3,4,7,7,0.09000952
1,1,1,12,0.034199085
1,1,1,12,0.033775438
1,1,1,12,0.03171274
1,1,1,1,0.05126513
1,1,4,10,0.055019706
1,5,4,10,0.05689217
0,5,4,4,0.06776339
0,0,7,0,0.08140612
0,0,7,7,0.08469362
0,0,7,7,0.08497521
3,4,3,3,0.09331696
1,1,1,12,0.03834896
1,1,1,12,0.041070644
1,1,1,12,0.03854835
1,5,4,4,0.06394118
1,5,4,4,0.063999936
0,5,4,4,0.067413665
0,0,0,0,0.07932205
0,0,0,8,0.076237775
0,0,7,0,0.082151234
0,0,7,7,0.08570486
3,4,3,3,0.09249257
1,1,1,1,0.052953407
1,5,4,10,0.06077669
1,1,4,10,0.054403447
0,5,0,4,0.0691008
0,5,0,8,0.07026032
0,0,0,8,0.07648986
0,0,0,0,0.07951656
0,5,0,8,0.07016675
0,0,7,7,0.085242845
0,0,7,7,0.08559756
3,4,7,7,0.08818094
0,0,0,8,0.0743999
0,5,4,4,0.06495664
0,5,4,4,0.06707406
1,5,4,4,0.06395583
0,0,0,8,0.07293767
0,0,0,8,0.073744446
0,0,0,0,0.07880133
0,0,7,0,0.0804041
3,4,7,3,0.09183739
0,5,0,4,0.06982603
0,5,0,4,0.069551855
0,5,4,4,0.06798258
0,5,4,4,0.06539151
0,0,0,8,0.07299753
0,5,0,4,0.068816535
0,0,0,0,0.07660396
3,4,7,7,0.089739524
0,0,7,7,0.084683396
3,4,7,7,0.09052079
0,5,0,8,0.07126913
0,5,0,4,0.06888239
0,5,4,4,0.067453794
0,0,0,0,0.08021675
0,5,0,4,0.06955038
0,0,7,0,0.08312769
3,4,3,11,0.100946195
1,5,4,10,0.057167675
0,5,0,8,0.07171018
3,4,3,3,0.09225862
0,0,7,7,0.08386589
3,3,6,6,0.117486455
3,3,6,11,0.109082066
3,4,3,3,0.096272446
3,4,3,3,0.09446413
3,4,7,7,0.08918581
1,5,4,10,0.06259618
0,5,4,4,0.06598665
0,0,0,8,0.07586976
1,1,1,1,0.045873754
3,4,3,3,0.09938148
3,4,7,7,0.08790323
0,0,0,0,0.07983559
0,5,0,8,0.07058642
0,0,0,0,0.0803081
0,5,0,8,0.07236461
0,0,0,0,0.07769658
0,0,0,0,0.07754992
1,1,1,12,0.038001116
1,1,1,12,0.03356155
0,5,4,4,0.06474947
0,5,4,4,0.06714149
1,5,4,4,0.06326018
0,5,4,4,0.065087855
0,5,0,8,0.072187245
3,4,7,7,0.08936786
0,0,7,7,0.085131265
0,0,7,0,0.083561964
0,0,7,0,0.080586605
1,1,1,12,0.03747346
1,1,1,12,0.02690128
1,1,1,12,0.036858436
1,5,4,10,0.059667293
0,5,4,4,0.06648474
0,0,0,8,0.072917
0,0,7,7,0.084459506
